14,The participants and field researchers assessing patient outcomes were blinded to the identity of practices that participated in the educational intervention.
0,Ovarian adhesions will be diagnosed in women with evidence of restricted ovarian mobility on targeted palpation using transvaginal ultrasound probe [14].
14,Statistical analysis follows a pre-specified analysis plan.
0,"The rationale for providing these items was to assure that the participants had appropriate shoes, clothes, and accessories to aid their comfort and confidence during their exercise sessions."
1,"This is an observer-blind prospective, controlled and randomised parallel group study."
0,"Binomial tests of equality were used to assess differences at baseline for categorical variables.Participants were also divided into four equal groups based on the magnitude of the change they made in low GI fruit intake, expressed as a percentage of daily available carbohydrate from fruit The significance of differences between those in the upper quartile of change in low GI fruit intake vs those in the lowest quartile was assessed using an ANOVA model (Proc GLM in SAS version 9.2) [20], with percentage change in measurements as the response variable.Finally, to assess the contribution of low GI fruit to the absolute change in HbA1c, as the primary outcome in the context of the other major low GI food components, a regression analysis was undertaken in SAS using an ANOVA model."
8,"A trial with 20 patients in each treatment group will provide us with a power (1-β) of 80% to detect a relative reduction in number of patients with persisting PDPH after 24 hours of 50% (OR = 12) and a power of 99% to detect a relative risk reduction of 80%, (OR = 81, at the usual significance level α = 5%, taking into account that in approximately 10% of the patients the PDPH will have resolved spontaneously after one day."
0,DNA was stored in −80 °C until testing.
1,"The study is a (prospective) cluster-randomized, open, three-armed intervention study."
0,Biochemical analyses on human muscle samples were performed as single-blind tests.
1,The design of a cluster randomized study was chosen because this has optimal internal validity (absence of confounders) while avoiding contamination of interventions associated with patient randomization.
0,Statistical differences within quantitative parameters were determined by Wilcoxon rank-test (non-parametric test) for two samples.
8,"Based on a power of 80% and a Type I error rate of α = 0.052-tailed, a sample size of 80 participants per group was required to detect an estimated important difference of 2 between the treatment arms, in the change in WOMAC pain dimension score from baseline to final (with standard deviation of 4.5)."
0,"Left atrial diameter and area as well as calculation of the left ventricular ejection fraction were performed by using the Simpson biplane method [17,18]."
8,"A total sample size of 200 participants (100 per treatment group) was specified in the protocol, which allowed for a non-evaluable rate of up to 20%."
