1,"This is an observer-blind prospective, controlled and randomised parallel group study."
0,"Next, they were fitted with accelerometers, and then randomized to either the intervention arm or usual care."
8,"A trial with 20 patients in each treatment group will provide us with a power (1-β) of 80% to detect a relative reduction in number of patients with persisting PDPH after 24 hours of 50% (OR = 12) and a power of 99% to detect a relative risk reduction of 80%, (OR = 81, at the usual significance level α = 5%, taking into account that in approximately 10% of the patients the PDPH will have resolved spontaneously after one day."
0,P-values less than 0.05 were considered to be statistically significant.
3,"After approval by the faculty ethics committee, patients with severe sepsis (temperature >38°C or <36°C, heart rate >90 beats/min, respiratory rate >20/min or PaCO2 < 32 mmHg, white blood cell count >12,000/mm3 or <4000/mm3, documented infection and dysfunction of an organ or hypotension) were enrolled in the study."
0,"All RA patients were included according to the following inclusion criteria: diagnosis according the 2010 ACR/EULAR criteria for RA [23], age ≥18 years, disease duration less than 1 year (the disease duration was considered from the onset of the symptoms to baseline that corresponded with the point of diagnosis and with the start of treatment), and Clinical Disease Activity Index (CDAI) ≥22 [24–27]."
5,"Details of the interventions used have previously been published[18], but a brief description is given below."
0,"Double blind, placebo-controlled clinical trial compared subjects receiving twice-daily doses of either 120-mg of Ginkgo biloba L. leaf extract (IDN 5933) or placebo for a 6 months period."
1,"The proposed study is a randomised controlled trial, with blinded treatment allocation, assessment and analysis, in which 70 patients undergoing a scheduled unilateral TKA will be evaluated to assess the added value of CPM at home, using function and mobility as the main outcomes."
0,"They continued to code a total of 10 transcripts, compare, resolve discrepancies, and clarify codes and definitions until they reached 80% agreement."
16,"Data were analysed by Statistical Package for the Social Sciences (SPSS) version 10.0, × 2 test for qualitative variables, and Student's t test for quantitative variables."
0,"Additionally, a muesli from ‘Seitenbacher’ (Muesli 348 – Ballaststoffmischung, fibre content: 14.3 g/100 g) was supplied."
1,The study was a randomised controlled trial of a solution-focused follow-up versus regular follow-up.
0,Ten milliliter of the plasma sample was aliquoted into barcoded polypropylene vial and frozen at −80.
1,"We conducted a single blind RCT with individuals randomly allocated to intervention (receipt of immediate welfare rights assessment, advice and active assistance with claims) or control condition (receipt of the intervention after a six month delay)."
0,The glaucoma counselor will also update the participant’s ophthalmologist on their adherence and action plan.
6,"Assessments take place at baseline (T0), start of the programme (T1), at three (T2), six (T3), nine (T4) and twelve months (T5) and then at eighteen = follow-up1 (T6) and twenty-four = follow-up2 (T7) months."
0,"For participants assigned to Arm A, the protocol required that the participant continue their current ART regimen, which was prescribed and monitored by the participant’s provider."
1,"Randomized, double blind, placebo-controlled, cross-over clinical trial (Figure 2)."
0,The ‘Telekits’ supplied were exactly the same for all patients and was purchased to each patient ahead of the trial and valued as prices paid.
1,Singleblinded Radomized Clinical Trial.
0,The 3 iterations of testing release candidate versions with iterative programming to accommodate comments received from future users and the task of translations took an unexpected 12 months.
12,Given the cluster design participant concealment was not possible but data extraction and analysis was carried out in blind fashion by one of us (DM).
0,"The primary objective of the study was to assess the safety, reactogenicity, and tolerability of gag DNA alone (1500 ug), gag DNA + dose escalations of IL-12 plasmid (100, 500, or 1500 ug) (HVTN 060), or gag DNA + dose escalations of IL-15 plasmid (100, 500, or 1500 ug) (HVTN 063) in healthy adults 18 to 49 years."
16,"We carried out comparisons of primary outcomes between the intervention and control arms at cluster (GP) level as this was the unit of randomisation [22] and data were analysed using a cluster specific method, Generalised Estimating Equation (GEE) model [23,24]."
0,Both are then fused in order to select the axial reflection of the vessel and compute a binary mask of the vessel.
3,"Exclusion criteria: breech presentation, twin pregnancies, maternal age < 18 years or absent informed consent."
0,The corresponding author had full access to all the data in the study and had final responsibility for the decision to submit for publication.
14,The study was single blind (participant unaware of product applied).
0,An investigator blinded to treatment carried out the first follow-up visit one month after the start of treatment.
8,"Assuming a conservative estimate of 30% attrition at 1 year (a lower attrition would increase the power of the study) due to death and loss to follow-up (15% in Jolly 1999 [66]), a sample size of 650 patients (450 evaluable at 1 year) would have 90% power, at the 5% significance level, to detect the differences tabulated (table 3) (population standard deviations estimated from Jolly 1999 [66])."
0,"Secondary endpoints included number of relapses, proportion of relapse free patients, severity of relapses (severe relapse was defined by ≥1.5 increase in EDSS score), 3 months confirmed disability progression (defined by ≥1.0 increase in EDSS score), number of new T2-hyperintense lesions (nT2L) and Gd+L per patient at months 3, 6, 9 and 12."
8,"Assuming a risk of recrudescence adjusted by genotyping of 6% for MAS3 and 1% for DHA-PPQ group, we calculated that a minimum of 250 patients would be needed in each treatment arm to detect a significant difference at 5% significance level and 80% power."
0,We used a single recording per test condition and only one attempt per condition to reduce fatigue [34].
5,"Participants were randomized to receive a standard dose of AS and SP (AS+SP) over three days, or AS+SP over the first three days plus primaquine (PQ) administered on the fourth day."
0,The treatment consisted of quizartinib once daily as an oral solution without food (1 h prior to or 2 h after a meal) throughout a 28-day treatment cycle.
14,The trial was not blinded; however laboratory staff performing the PCR assays were unaware of the treatment allocation.
0,"The foot photographs were reviewed initially by one of the investigators blinded to group assignment, and a suspected ulcer or nonulcerative plantar lesion below the malleoli was referred to a panel of three blinded (as to group assignment) adjudicators, all experts in the field."
10,"Using SAS, a randomization list was prepared in advance of vaccination activities with randomized block of N = 2 (one subject receiving saline and the other Alhydrogel formulated vaccine) for the August 2002 cohorts."
0,"Study visits were planned in the 3rd and 4th week after starting every different warfarin; at each visit, if necessary, warfarin dosage was adjusted to keep the INR results within the therapeutic range of 2.0 to 3.0."
3,All patients between 16–65 years with an acute lateral ankle sprain (less than 1 week since injury) will be considered for participation in the study.
0,A detailed description of the adaptation process has been published elsewhere [32].
12,The randomization code of the monotherapy arms of the study remained concealed until all patients had completed their follow up and the database had been verified and closed.
